no,Player,pos,wt,birth_date,nationality,exp,college,year,team,result
10,Darrell Armstrong,PG,170,22-Jun-68,us,11,Fayetteville State University,2006,DAL,lost
13,Doug Christie,SG,200,9-May-70,us,13,Pepperdine,2006,DAL,lost
25,Erick Dampier,C,265,14-Jul-75,us,9,Mississippi State,2006,DAL,lost
6,Marquis Daniels,SG,200,7-Jan-81,us,2,Auburn,2006,DAL,lost
7,DeSagana Diop,C,300,30-Jan-82,sn,4,,2006,DAL,lost
44,Adrian Griffin,SG,217,4-Jul-74,us,6,Seton Hall,2006,DAL,lost
34,Devin Harris,PG,185,27-Feb-83,us,1,Wisconsin,2006,DAL,lost
5,Josh Howard,SF,210,28-Apr-80,us,2,Wake Forest,2006,DAL,lost
28,Didier Ilunga-Mbenga,C,245,30-Dec-80,cd,1,,2006,DAL,lost
1,Rawle Marshall,SF,190,20-Feb-82,gy,R,"Ball State University, Oakland",2006,DAL,lost
41,Dirk Nowitzki,PF,245,19-Jun-78,de,7,,2006,DAL,lost
24,Pavel Podkolzin,C,260,15-Jan-85,ru,1,,2006,DAL,lost
33,Josh Powell,PF,225,25-Jan-83,us,R,NC State,2006,DAL,lost
42,Jerry Stackhouse,SG,218,5-Nov-74,us,10,UNC,2006,DAL,lost
31,Jason Terry,PG,185,15-Sep-77,us,6,Arizona,2006,DAL,lost
2,Keith Van Horn,SF,220,23-Oct-75,us,8,Utah,2006,DAL,lost
6,Shannon Brown,SG,205,29-Nov-85,us,R,Michigan State,2007,CLE,lost
1,Daniel Gibson,PG,190,27-Feb-86,us,R,Texas,2007,CLE,lost
90,Drew Gooden,PF,250,24-Sep-81,us,4,Kansas,2007,CLE,lost
32,Larry Hughes,SG,184,23-Jan-79,us,8,Saint Louis,2007,CLE,lost
11,Zydrunas Ilgauskas,C,238,5-Jun-75,lt,8,,2007,CLE,lost
23,LeBron James,SF,250,30-Dec-84,us,3,,2007,CLE,lost
19,Damon Jones,PG,185,25-Aug-76,us,8,Houston,2007,CLE,lost
27,Dwayne Jones,PF,250,9-Jun-83,us,1,Saint Joseph's,2007,CLE,lost
24,Donyell Marshall,PF,218,18-May-73,us,12,UConn,2007,CLE,lost
14,Ira Newble,SF,220,20-Jan-75,us,6,Miami University,2007,CLE,lost
3,Sasha Pavlović,SG,220,15-Nov-83,me,3,,2007,CLE,lost
31,Scot Pollard,C,265,12-Feb-75,us,9,Kansas,2007,CLE,lost
20,Eric Snow,PG,190,24-Apr-73,us,11,Michigan State,2007,CLE,lost
17,Anderson Varejão,C,273,28-Sep-82,br,2,,2007,CLE,lost
4,David Wesley,SG,190,14-Nov-70,us,13,Baylor,2007,CLE,lost
3,Trevor Ariza,SF,215,30-Jun-85,us,3,UCLA,2008,LAL,lost
54,Kwame Brown,C,270,10-Mar-82,us,6,,2008,LAL,lost
24,Kobe Bryant,SG,212,23-Aug-78,us,11,,2008,LAL,lost
17,Andrew Bynum,C,285,27-Oct-87,us,2,,2008,LAL,lost
43,Brian Cook,PF,234,4-Dec-80,us,4,Illinois,2008,LAL,lost
1,Javaris Crittenton,SG,200,31-Dec-87,us,R,Georgia Tech,2008,LAL,lost
6,Maurice Evans,SG,220,8-Nov-78,us,4,"Wichita State, Texas",2008,LAL,lost
5,Jordan Farmar,PG,180,30-Nov-86,us,1,UCLA,2008,LAL,lost
2,Derek Fisher,PG,200,9-Aug-74,us,11,Little Rock,2008,LAL,lost
16,Pau Gasol,C,250,6-Jul-80,es,6,,2008,LAL,lost
28,Didier Ilunga-Mbenga,C,245,30-Dec-80,cd,3,,2008,LAL,lost
11,Coby Karl,SG,215,6-Mar-83,us,R,Boise State,2008,LAL,lost
31,Chris Mihm,C,265,16-Jul-79,us,6,Texas,2008,LAL,lost
14,Ira Newble,SF,220,20-Jan-75,us,7,Miami University,2008,LAL,lost
7,Lamar Odom,PF,220,6-Nov-79,us,8,Rhode Island,2008,LAL,lost
10,Vladimir Radmanović,SF,227,19-Nov-80,ba,6,,2008,LAL,lost
21,Ronny Turiaf,C,249,13-Jan-83,mq,2,Gonzaga,2008,LAL,lost
18,Sasha Vujačić,SG,195,8-Mar-84,si,3,,2008,LAL,lost
4,Luke Walton,SF,235,28-Mar-80,us,4,Arizona,2008,LAL,lost
1,Rafer Alston,PG,171,24-Jul-76,us,9,Fresno State,2009,ORL,lost
4,Tony Battie,PF,230,11-Feb-76,us,10,Texas Tech,2009,ORL,lost
10,Keith Bogans,SG,215,12-May-80,us,5,Kentucky,2009,ORL,lost
34,Brian Cook,PF,234,4-Dec-80,us,5,Illinois,2009,ORL,lost
31,Adonal Foyle,C,250,9-Mar-75,vc,11,Colgate,2009,ORL,lost
13,Marcin Gortat,PF,240,17-Feb-84,pl,1,,2009,ORL,lost
12,Dwight Howard,C,265,8-Dec-85,us,4,,2009,ORL,lost
8,Anthony Johnson,PG,190,2-Oct-74,us,11,College of Charleston,2009,ORL,lost
11,Courtney Lee,SG,215,3-Oct-85,us,R,Western Kentucky,2009,ORL,lost
9,Rashard Lewis,PF,215,8-Aug-79,us,10,,2009,ORL,lost
10,Tyronn Lue,PG,175,3-May-77,us,10,Nebraska,2009,ORL,lost
14,Jameer Nelson,PG,190,9-Feb-82,us,4,Saint Joseph's,2009,ORL,lost
20,Mickaël Piétrus,SG,215,7-Feb-82,gp,5,,2009,ORL,lost
7,J.J. Redick,SG,200,24-Jun-84,us,2,Duke,2009,ORL,lost
32,Jeremy Richardson,SF,185,11-Feb-84,us,2,Delta State University,2009,ORL,lost
15,Hedo Türkoğlu,SF,220,19-Mar-79,tr,8,,2009,ORL,lost
20,Ray Allen,SG,205,20-Jul-75,us,13,UConn,2010,BOS,lost
42,Tony Allen,SG,213,11-Jan-82,us,5,"Butler County Community College, Oklahoma State",2010,BOS,lost
7,Marquis Daniels,SF,200,7-Jan-81,us,6,Auburn,2010,BOS,lost
11,Glen Davis,PF,289,1-Jan-86,us,2,LSU,2010,BOS,lost
40,Michael Finley,SF,215,6-Mar-73,us,14,Wisconsin,2010,BOS,lost
5,Kevin Garnett,PF,240,19-May-76,us,14,,2010,BOS,lost
4,J.R. Giddens,SF,215,13-Feb-85,us,1,"Kansas, New Mexico",2010,BOS,lost
